Merge ID,Track ID,Merge Type,Vehicle Size,Avg MPH,Merge Duration (s),,Group
1,430,MERGING,SMALL,3.7,0.63,,MERGING SMALL
2,429,MERGING,BIG,3.6,0.63,,MERGING BIG
3,426,MERGING,SMALL,3.3,0.63,,MERGING SMALL
4,425,EARLY,BIG,2.8,0.63,,EARLY BIG
5,423,MERGING,SMALL,3.5,0.63,,MERGING SMALL
6,422,MERGING,SMALL,3.6,0.63,,MERGING SMALL
7,420,MERGING,SMALL,3.8,0.63,,MERGING SMALL
8,417,MERGING,SMALL,3.4,0.63,,MERGING SMALL
9,416,MERGING,SMALL,3.2,0.63,,MERGING SMALL
10,428,MERGING,SMALL,13.8,2.8,,MERGING SMALL
11,433,LATE,BIG,7.8,3,,LATE BIG
12,441,MERGING,SMALL,6.1,0.63,,MERGING SMALL
13,451,LATE,BIG,6.1,0.83,,LATE BIG
14,446,LATE,BIG,9.9,1.87,,LATE BIG
15,455,MERGING,BIG,8,1.13,,MERGING BIG
16,457,LATE,SMALL,12.5,2.17,,LATE SMALL
17,461,LATE,SMALL,7.6,1,,LATE SMALL
18,465,MERGING,BIG,13.2,1.97,,MERGING BIG
19,481,MERGING,BIG,5.8,0.63,,MERGING BIG
20,471,LATE,SMALL,14.9,3.23,,LATE SMALL
21,482,MERGING,SMALL,3.7,1.4,,MERGING SMALL
22,494,LATE,BIG,5.9,0.67,,LATE BIG
23,501,MERGING,SMALL,4.2,1.77,,MERGING SMALL
24,515,EARLY,BIG,8,0.63,,EARLY BIG
25,502,LATE,BIG,14.8,3.6,,LATE BIG
26,513,MERGING,BIG,4.1,1.9,,MERGING BIG
27,519,MERGING,BIG,11.2,2.03,,MERGING BIG
28,529,MERGING,BIG,5.9,0.63,,MERGING BIG
29,528,LATE,SMALL,21.5,1.33,,LATE SMALL
30,543,LATE,SMALL,12.2,1.37,,LATE SMALL
31,544,MERGING,BIG,4,3.47,,MERGING BIG
32,546,MERGING,SMALL,3.7,3.13,,MERGING SMALL
33,558,LATE,SMALL,15.5,1.6,,LATE SMALL
34,568,LATE,SMALL,7.9,0.63,,LATE SMALL
35,575,MERGING,SMALL,12.6,1.93,,MERGING SMALL
36,585,MERGING,SMALL,6.8,0.63,,MERGING SMALL
37,583,MERGING,SMALL,19.3,1.97,,MERGING SMALL
1,24,MERGING,SMALL,1.6,0.63,,MERGING SMALL
2,21,MERGING,BIG,1.4,0.63,,MERGING BIG
3,20,MERGING,SMALL,0.9,0.63,,MERGING SMALL
4,17,MERGING,SMALL,1.6,0.63,,MERGING SMALL
5,16,MERGING,SMALL,1.6,0.63,,MERGING SMALL
6,15,MERGING,SMALL,0.8,0.63,,MERGING SMALL
7,9,LATE,SMALL,2,0.63,,LATE SMALL
8,7,LATE,SMALL,2.7,0.63,,LATE SMALL
9,3,MERGING,SMALL,1.3,0.63,,MERGING SMALL
10,4,MERGING,SMALL,3.2,0.9,,MERGING SMALL
11,13,LATE,SMALL,4.2,1.37,,LATE SMALL
12,18,MERGING,SMALL,4.1,3.63,,MERGING SMALL
13,8,MERGING,BIG,4.4,3.63,,MERGING BIG
14,6,MERGING,SMALL,4.4,3.63,,MERGING SMALL
15,14,LATE,SMALL,7.8,3.9,,LATE SMALL
16,29,MERGING,BIG,3.6,4.07,,MERGING BIG
17,39,LATE,SMALL,4.2,0.63,,LATE SMALL
18,5,MERGING,SMALL,5,6.63,,MERGING SMALL
19,26,MERGING,BIG,3.7,6.83,,MERGING BIG
20,44,MERGING,SMALL,6.2,0.63,,MERGING SMALL
21,54,MERGING,BIG,3.4,0.8,,MERGING BIG
22,64,MERGING,SMALL,0.8,0.77,,MERGING SMALL
23,60,MERGING,SMALL,4.4,2.93,,MERGING SMALL
24,71,MERGING,BIG,0.8,1.9,,MERGING BIG
25,74,MERGING,BIG,5.3,1.27,,MERGING BIG
26,85,MERGING,BIG,0,0.67,,MERGING BIG
27,99,MERGING,BIG,0,2,,MERGING BIG
28,102,MERGING,SMALL,2.4,0.63,,MERGING SMALL
29,109,MERGING,BIG,0.2,0.63,,MERGING BIG
30,106,MERGING,BIG,0.3,1,,MERGING BIG
31,113,MERGING,BIG,1,1.97,,MERGING BIG
32,125,MERGING,BIG,0.5,0.77,,MERGING BIG
33,100,LATE,BIG,1.9,6.57,,LATE BIG
34,141,LATE,SMALL,1.6,0.63,,LATE SMALL
35,148,MERGING,BIG,0.3,0.63,,MERGING BIG
36,132,MERGING,SMALL,3,1.83,,MERGING SMALL
37,152,MERGING,SMALL,1.3,2.5,,MERGING SMALL
38,160,MERGING,BIG,0,1.37,,MERGING BIG
39,159,MERGING,BIG,0.7,1.73,,MERGING BIG
40,169,MERGING,BIG,0.8,1.43,,MERGING BIG
41,171,LATE,SMALL,0.3,0.7,,LATE SMALL
42,173,MERGING,SMALL,0.9,1.53,,MERGING SMALL
43,164,MERGING,SMALL,3.4,0.63,,MERGING SMALL
44,182,MERGING,BIG,0.6,0.7,,MERGING BIG
45,186,MERGING,BIG,0.4,1.3,,MERGING BIG
46,195,MERGING,SMALL,1,0.63,,MERGING SMALL
47,200,MERGING,SMALL,0.6,1.1,,MERGING SMALL
48,190,MERGING,SMALL,1.3,0.63,,MERGING SMALL
49,199,MERGING,BIG,3,4.13,,MERGING BIG
50,227,LATE,SMALL,0.7,1.13,,LATE SMALL
51,231,LATE,SMALL,3.2,0.63,,LATE SMALL
52,230,MERGING,BIG,3.8,3.33,,MERGING BIG
53,245,MERGING,SMALL,1,0.87,,MERGING SMALL
54,249,MERGING,SMALL,4.5,0.63,,MERGING SMALL
55,258,LATE,SMALL,4.2,3.27,,LATE SMALL
56,276,MERGING,BIG,3,2.17,,MERGING BIG
57,287,MERGING,BIG,2.8,1.7,,MERGING BIG
58,281,MERGING,SMALL,0.6,4.6,,MERGING SMALL
59,309,MERGING,BIG,5,0.63,,MERGING BIG
60,304,MERGING,SMALL,1.2,1.97,,MERGING SMALL
61,311,MERGING,BIG,1.5,1.1,,MERGING BIG
62,323,MERGING,BIG,4.2,0.63,,MERGING BIG
63,327,MERGING,BIG,1.3,1.13,,MERGING BIG
64,312,MERGING,BIG,1.9,1.2,,MERGING BIG
65,335,MERGING,SMALL,6.1,3.07,,MERGING SMALL
66,324,MERGING,BIG,4.7,6.1,,MERGING BIG
67,366,LATE,BIG,1.1,1.7,,LATE BIG
68,370,MERGING,BIG,0.4,0.63,,MERGING BIG
69,376,MERGING,SMALL,3,0.63,,MERGING SMALL
70,375,MERGING,BIG,0.2,2.6,,MERGING BIG
71,381,MERGING,BIG,1.2,1.43,,MERGING BIG
72,387,MERGING,SMALL,3,0.97,,MERGING SMALL
73,402,MERGING,SMALL,0.3,0.63,,MERGING SMALL
74,391,MERGING,SMALL,1,3.07,,MERGING SMALL
75,404,MERGING,SMALL,2.5,0.63,,MERGING SMALL
76,406,MERGING,BIG,1.3,1.2,,MERGING BIG
1,197,LATE,SMALL,2.5,0.63,,LATE SMALL
2,194,MERGING,SMALL,3.3,0.63,,MERGING SMALL
3,193,MERGING,SMALL,2.8,0.63,,MERGING SMALL
4,192,LATE,SMALL,3.3,0.63,,LATE SMALL
5,191,LATE,SMALL,3.5,0.63,,LATE SMALL
6,190,MERGING,SMALL,2.6,0.63,,MERGING SMALL
7,185,MERGING,SMALL,2.2,0.63,,MERGING SMALL
8,202,MERGING,BIG,2.8,0.63,,MERGING BIG
9,188,MERGING,SMALL,6.9,1.3,,MERGING SMALL
10,187,MERGING,SMALL,8,3.63,,MERGING SMALL
11,186,MERGING,SMALL,8.4,3.63,,MERGING SMALL
12,215,MERGING,SMALL,5.3,0.63,,MERGING SMALL
13,229,MERGING,BIG,6.9,1.5,,MERGING BIG
14,231,MERGING,BIG,4.8,2.93,,MERGING BIG
15,246,MERGING,SMALL,3.1,1.3,,MERGING SMALL
