Merge ID,Track ID,Merge Type,Vehicle Size,Avg MPH,Merge Duration (s)
1,430,MERGING,SMALL,3.7,0.63
2,429,MERGING,BIG,3.6,0.63
3,426,MERGING,SMALL,3.3,0.63
4,425,EARLY,BIG,2.8,0.63
5,423,MERGING,SMALL,3.5,0.63
6,422,MERGING,SMALL,3.6,0.63
7,420,MERGING,SMALL,3.8,0.63
8,417,MERGING,SMALL,3.4,0.63
9,416,MERGING,SMALL,3.2,0.63
10,428,MERGING,SMALL,13.8,2.8
11,433,LATE,BIG,7.8,3.0
12,441,MERGING,SMALL,6.1,0.63
13,451,LATE,BIG,6.1,0.83
14,446,LATE,BIG,9.9,1.87
15,455,MERGING,BIG,8.0,1.13
16,457,LATE,SMALL,12.5,2.17
17,461,LATE,SMALL,7.6,1.0
18,465,MERGING,BIG,13.2,1.97
19,481,MERGING,BIG,5.8,0.63
20,471,LATE,SMALL,14.9,3.23
21,482,MERGING,SMALL,3.7,1.4
22,494,LATE,BIG,5.9,0.67
23,501,MERGING,SMALL,4.2,1.77
24,515,EARLY,BIG,8.0,0.63
25,502,LATE,BIG,14.8,3.6
26,513,MERGING,BIG,4.1,1.9
27,519,MERGING,BIG,11.2,2.03
28,529,MERGING,BIG,5.9,0.63
29,528,LATE,SMALL,21.5,1.33
30,543,LATE,SMALL,12.2,1.37
31,544,MERGING,BIG,4.0,3.47
32,546,MERGING,SMALL,3.7,3.13
33,558,LATE,SMALL,15.5,1.6
34,568,LATE,SMALL,7.9,0.63
35,575,MERGING,SMALL,12.6,1.93
36,585,MERGING,SMALL,6.8,0.63
37,583,MERGING,SMALL,19.3,1.97
